,isbn13,isbn10,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count,cleaned_description
4993,9780802806413,0802806414,The Pilgrim's Regress,C. S. Lewis,Religion,"The first book written by C. S. Lewis after his conversion, The Pilgrim's Regress is, in a sense, the record of Lewis's own search for meaning and spiritual satisfaction -- a search that eventually led him to Christianity. Here is the story of the pilgrim John and his odyssey to an enchanting island which has created in him an intense longing 7mdash; a mysterious, sweet desire. John's pursuit of this desire takes him through adventures with such people as Mr. Enlightenment, Media Halfways, Mr. Mammon, Mother Kirk, Mr. Sensible, and Mr. Humanist and through such cities as Thrill and Eschropolis as well as the Valley of Humiliation. Though the dragons and giants here are different from those in Bunyan's Pilgrim's Progress, Lewis's allegory performs the same function of enabling the author to say simply and through fantasy what would otherwise have demanded a full-length philosophy of religion.",1981,4,219,5870,first book written c s lewis conversion pilgrim s regress is sense record lewis s search meaning spiritual satisfaction search eventually led christianity story pilgrim john odyssey enchanting island created intense longing 7mdash mysterious sweet desire john s pursuit desire takes adventures people mr enlightenment media halfways mr mammon mother kirk mr sensible mr humanist cities thrill eschropolis well valley humiliation though dragons giants different bunyan s pilgrim s progress lewis s allegory performs function enabling author say simply fantasy would otherwise demanded full length philosophy religion
4994,9780802829665,080282966X,A Time to Embrace,William Stacy Johnson,Political Science,"As rhetoric continues to heat up on both sides of the debate over same-gender unions, clear, reasoned statements are in short supply. Johnson presents a comprehensive case for acknowledging the legitimacy of same-gender unions in law, politics, and especially religion.",2006,4,330,44,rhetoric continues heat sides debate same gender unions clear reasoned statements short supply johnson presents comprehensive case acknowledging legitimacy same gender unions law politics especially religion
4995,9780802831620,0802831621,Jesus and the Eyewitnesses,Richard Bauckham,Religion,"This momentous book argues that the four Gospels are closely based on the eyewitness testimony of those who personally knew Jesus. Noted New Testament scholar Richard Bauckham challenges the prevailing assumption that the accounts of Jesus circulated as anonymous community traditions, asserting instead that they were transmitted in the names of the original eyewitness. To drive home this controversial point, Bauckham draws on internal literary evidence, the use of personal names in first-century Jewish Palestine, and recent developments in the understanding of oral tradition. ""Jesus and the Eyewitnesses"" also taps into the rich resources of modern study of memory, especially in cognitive psychology, refuting the conclusions of the form critics and calling New Testament scholarship to make a clean break with this long-dominant tradition. Finally, Bauckham challenges readers to end the classic division between the historical Jesus and the Christ of faith, proposing instead the Jesus of testimony as presented by the Gospels. Sure to ignite heated debate on the precise character of the testimony about Jesus, ""Jesus and the Eyewitnesses"" is a groundbreaking work that will be valued by scholars, students, and all who seek to understand the origins of the Gospels.",2006,4,538,632,momentous book argues four gospels closely based eyewitness testimony personally knew jesus noted new testament scholar richard bauckham challenges prevailing assumption accounts jesus circulated anonymous community traditions asserting instead transmitted names original eyewitness drive home controversial point bauckham draws internal literary evidence use personal names first century jewish palestine recent developments understanding oral tradition jesus eyewitnesses also taps rich resources modern study memory especially cognitive psychology refuting conclusions form critics calling new testament scholarship make clean break long dominant tradition finally bauckham challenges readers end classic division historical jesus christ faith proposing instead jesus testimony presented gospels sure ignite heated debate precise character testimony jesus jesus eyewitnesses groundbreaking work valued scholars students seek understand origins gospels
4996,9780802839725,080283972X,The Early History of God,Mark S. Smith,Religion,"Foreword by Patrick D. Miller In this remarkable, acclaimed history of the development of monotheism, Mark S. Smith explains how Israel's religion evolved from a cult of Yahweh as a primary deity among many to a fully defined monotheistic faith with Yahweh as sole god. Repudiating the traditional view that Israel was fundamentally different in culture and religion from its Canaanite neighbors, this provocative book argues that Israelite religion developed, at least in part, from the religion of Canaan. Drawing on epigraphic and archaeological sources, Smith cogently demonstrates that Israelite religion was not an outright rejection of foreign, pagan gods but, rather, was the result of the progressive establishment of a distinctly separate Israelite identity. This thoroughly revised second edition ofThe Early History of God includes a substantial new preface by the author and a foreword by Patrick D. Miller.",2002,4,243,217,foreword patrick d miller remarkable acclaimed history development monotheism mark s smith explains israel s religion evolved cult yahweh primary deity among many fully defined monotheistic faith yahweh sole god repudiating traditional view israel fundamentally different culture religion canaanite neighbors provocative book argues israelite religion developed least part religion canaan drawing epigraphic archaeological sources smith cogently demonstrates israelite religion outright rejection foreign pagan gods but rather result progressive establishment distinctly separate israelite identity thoroughly revised second edition ofthe early history god includes substantial new preface author foreword patrick d miller
4997,9780803261839,0803261837,Pirates of Venus,Edgar Rice Burroughs,Fiction,Astronaut Carson Napier crashes on Venus.,1934,4,179,1203,astronaut carson napier crashes venus
4998,9780803266551,0803266553,The Coming of the Fairies,Arthur Conan Doyle,Fiction,"Based on the Cottingley photographs, which showed two girls playing with a group of tiny, translucent fairies, Doyle argues for the authenticity of fairies and discusses the implications of their existence.",2006,3,189,197,based cottingley photographs showed two girls playing group tiny translucent fairies doyle argues authenticity fairies discusses implications existence
4999,9780803273320,0803273320,The Lost Continent,C. J. Cutcliffe Hyne,Fiction,A fictionalized account of the last days of the doomed island of Atlantis.,2002,4,260,19,fictionalized account last days doomed island atlantis
5002,9780803723184,0803723180,William Shakespeare's Twelfth Night,Bruce Coville;Tim Raglin,Juvenile Fiction,"Retells, in simplified prose, William Shakespeare's play about the misadventures which result from trickery and deceit.",2003,4,48,138,retells simplified prose william shakespeare s play misadventures result trickery deceit
5004,9780803729780,0803729782,Time for Ballet,Adèle Geras;Shelagh McNicholas,Juvenile Fiction,"Tilly, who loves ballet, plays the part of a cat in her class's dance recital.",2004,4,32,68,tilly loves ballet plays part cat class s dance recital
5005,9780804001489,0804001480,House of Incest,Anaïs Nin,Fiction,"A prose poem celebrating femininity, exploring the frustrated ambitions of the writer, and describing incest.",1989,4,72,1774,prose poem celebrating femininity exploring frustrated ambitions writer describing incest
