,isbn13,isbn10,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count,cleaned_description
2,9780006163831,0006163831,The One Tree,Stephen R. Donaldson,American fiction,Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.,1982,4,479,172,volume two stephen donaldson s acclaimed second trilogy featuing compelling anti hero thomas covenant
3,9780006178736,0006178731,Rage of angels,Sidney Sheldon,Fiction,"A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",1993,4,512,29532,memorable mesmerizing heroine jennifer brilliant beautiful attorney way mafia s schemes win hatred implacable enemy love destructive hate dangerous dramatic world dark arena organized crime flashbulb lit courtrooms ambitious prosecutors begin climb political power
4,9780006280897,0006280897,The Four Loves,Clive Staples Lewis,Christian life,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",2002,4,170,33684,lewis work nature love divides love four categories affection friendship eros charity first three come naturally humanity charity however gift love god divine without supernatural love natural loves become distorted even dangerous
5,9780006280934,0006280935,The Problem of Pain,Clive Staples Lewis,Christian life,"""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",2002,4,176,37569,in problem pain c s lewis one renowned christian authors thinkers examines universally applicable question within human condition god good all powerful allow creatures suffer pain signature wealth compassion insight c s lewis offers answers crucial questions shares hope wisdom help heal world hungering true understanding human nature amazon
6,9780006353287,0006353282,An Autobiography,Agatha Christie,"Authors, English",Donation.,1977,4,560,3975,donation
8,9780006470229,000647022X,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)","A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",1994,4,743,103,new cover reissue fourth book bestselling five volume sf series created world famous author thomas covenant chronicles acclaimed best work career events moving amnion intended humans false dealings aliens planetoid thanatos minor exploded atoms trumpet hurtled space one step ahead hostile pursuers board morn hyland force grown son davies cyborg angus thermopyle captain nick succorso old enemies thrown together desperate bid survival amnion umcp immediate capture fleeing ship secrets contained imperative trumpet s exhausted crew hope lay illegal lab distant binary solar system valdor industrial would journey unpredictable danger would return
9,9780006472612,0006472613,Master of the Game,Sidney Sheldon,Adventure stories,Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,1982,4,489,43540,kate blackwell enigma one powerful women world ninetieth birthday celebrations ghosts absent friends absent enemies
10,9780006479673,0006479677,If Tomorrow Comes,Sidney Sheldon,Adventure stories,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans.",1994,4,501,49170,one sidney sheldon s popular bestselling titles repackaged reissued new generation fans
11,9780006480099,0006480098,Assassin's Apprentice,Robin Hobb,American fiction,Fantasy-roman.,1996,4,460,133972,fantasy roman
12,9780006482079,0006482074,Warhost of Vastmark,Janny Wurts,Fiction,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",1995,4,522,2966,tricked wily half brother lysaer lord light arrives tiny harbor town merior find arithon s ship yards abandoned meticulously destroyed master shadow disappeared thin air meanwhile arithon mad prophet dakar traveling foot treacherous kelhorn mountains towards vastmark clans raise support cause raising warhost costly business mere coincidence princess talithlysaer s beautiful headstrong wifeis taken captive held vast ransom master brigand forces light shadow circle feint drawing ever closer huge conflict background fellowship seven sorcerers koriani enchantresses watch plan wait
14,9780006483892,0006483895,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,"Available in the U.S. for the first time, this is the second volume in the exceptional Legends of the Riftwar series from ""New York Times""-bestselling authors Feist and Rosenberg.",2003,4,337,5083,available u s first time second volume exceptional legends riftwar series new york times bestselling authors feist rosenberg
15,9780006483908,0006483909,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,"Jimmy the Hand, boy thief of Krondor, lived in the shadows of the city. Though gifted beyond his peers, Jimmy is merely a pickpocket with potential--until he aids Prince Arutha in the rescue of Princess Anita from Duke Guy du Bas-Tyra, and runs afoul of ""Black Guy's"" secret police. Facing a choice between disappearing on his own or in a weighted barrel at the bottom of Krondor's harbor, Jimmy chooses the former. Forced to flee the only home he's ever known, Jimmy finds himself among the unsuspecting rural villagers of Land's End, where he hopes to prosper with his talents for con and thievery. But Land's End is home to many who tread the crooked path--and to a dark, dangerous presence even the local smugglers don't recognize. And suddenly Jimmy's youthful bravado and courage are leading him into the maw of chaos . . . and, quite possibly, to his doom.",2003,4,368,5579,jimmy hand boy thief krondor lived shadows city though gifted beyond peers jimmy merely pickpocket potential until aids prince arutha rescue princess anita duke guy du bas tyra runs afoul black guy s secret police facing choice disappearing weighted barrel bottom krondor s harbor jimmy chooses former forced flee home he s ever known jimmy finds among unsuspecting rural villagers land s end hopes prosper talents con thievery land s end home many tread crooked path and dark dangerous presence even local smugglers recognize suddenly jimmy s youthful bravado courage leading maw chaos and quite possibly doom
18,9780006496434,0006496431,The Little House,Philippa Gregory,Country life,"It was easy for Elizabeth. She married the man she loved. It was harder for Ruth. She married Elizabeth's son and then found that, somehow, she could never quite measure up. This thriller examines what women want and what they fear, as Ruth confronts the shifting borders of her own sanity.",1998,4,368,1832,easy elizabeth married man loved harder ruth married elizabeth s son found that somehow could never quite measure up thriller examines women want fear ruth confronts shifting borders sanity
22,9780006498865,0006498868,The Mad Ship,Robin Hobb,Fantasy fiction,"Fantasy master Robin Hobb delivers the stunning second volume of her Liveship Traders trilogy, returning to the timeless city of Bingtown, where pirates now plague the coasts and the dreaded slave trade flourishes. Althea Vestrit doesnt have time to be afraid, for her familys newly awakened Liveship, Vivacia, has been seized by the ruthless pirate Kennit. So Althea hatches a bold plan. But to carry it out, she must recruit a Liveship that has already slain two crews -- and is said to be insane.",2000,4,906,36101,fantasy master robin hobb delivers stunning second volume liveship traders trilogy returning timeless city bingtown pirates plague coasts dreaded slave trade flourishes althea vestrit doesnt time afraid familys newly awakened liveship vivacia seized ruthless pirate kennit althea hatches bold plan carry out must recruit liveship already slain two crews said insane
23,9780006499169,0006499163,Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)","This tale begins with Jack Aubrey arriving home from his exploits in the Mediterranean to find England at peace following the Treaty of Amiens. He and his friend Stephen Maturin, surgeon and secret agent, begin to live the lives of country gentlemen, hunting, entertaining and enjoying more amorous adventures. Their comfortable existence, however, is cut short when Jack is overnight reduced to a pauper with enough debts to keep him in prison for life. He flees to the continent to seek refuge: instead he finds himself a hunted fugitive as Napoleon has ordered the internment of all Englishmen in France. Aubrey's adventures in escaping from France and the debtors' prison will grip the reader as fast as his unequalled actions at sea.",1996,4,474,7815,tale begins jack aubrey arriving home exploits mediterranean find england peace following treaty amiens friend stephen maturin surgeon secret agent begin live lives country gentlemen hunting entertaining enjoying amorous adventures comfortable existence however cut short jack overnight reduced pauper enough debts keep prison life flees continent seek refuge instead finds hunted fugitive napoleon ordered internment englishmen france aubrey s adventures escaping france debtors prison grip reader fast unequalled actions sea
24,9780006499268,0006499260,The Reverse of the Medal,Patrick O'Brian,Adventure stories,"In this book, Jack Aubrey returns from his duties protecting whalers off the South American coast and is persuaded by a casual acquaintance to make investments in the City on the strength of supposedly certain information. From there he is led into the half-worlds of the London criminal underground and of government espionage - the province of his friend, Stephen Maturin.",1997,4,261,177,book jack aubrey returns duties protecting whalers south american coast persuaded casual acquaintance make investments city strength supposedly certain information led half worlds london criminal underground government espionage province friend stephen maturin
27,9780006512677,0006512674,Spares,Michael Marshall Smith,Human cloning,"Spares - human clones, the ultimate health insurance. An eye for an eye - but some people are doing all the taking. The story of Jack Randall: burnt-out, dropped out, and way overdrawn at the luck bank. But as caretaker on a Spares Farm, he still has a choice, and it might make a difference.",1998,4,317,2481,spares human clones ultimate health insurance eye eye people taking story jack randall burnt out dropped out way overdrawn luck bank caretaker spares farm still choice might make difference
28,9780006513087,0006513085,Gravity,Tess Gerritsen,Science fiction,"Emma Watson a research physician has been training for the mission of a lifetime: to study living organisms in the microgravity of space. But the true and lethal nature of the experiment has not been revealed to NASA and once aboard the space station things start to go wrong. A culture of single-celled Archaeons, gathered from the deep sea, begin to rapidly multiply and infect the crew - with deadly and agonising results. As her estranged husband and ground crew at NASA work against the clock to launch a rescue Emma stuggles to contain the lethal microbe. But with the contagion threatening Earth's population, there are those who would leave the astronauts stranded in orbit, quarantined aboard the station.",2004,4,342,8024,emma watson research physician training mission lifetime study living organisms microgravity space true lethal nature experiment revealed nasa aboard space station things start go wrong culture single celled archaeons gathered deep sea begin rapidly multiply infect crew deadly agonising results estranged husband ground crew nasa work clock launch rescue emma stuggles contain lethal microbe contagion threatening earth s population would leave astronauts stranded orbit quarantined aboard station
29,9780006514640,0006514642,The Wise Woman,Philippa Gregory,Great Britain,"Alone and vulnerable, Alys joins a nunnery in an attempt to escape poverty but finds herself thrown back into the outside world when Henry VIII's wreckers destroy her sanctuary. With nothing but her looks, her magic and her own instinctive cunning, Alys has to tread a perilous path between the faith of her childhood and her own female power. When she falls in love with Hugo, the feudal lord and another woman's husband, she dips into witchcraft to defeat her rival and to win her lover, only to find that magic makes a poor servant but a dominant master. Since heresy against the new church means the stake, and witchcraft the rope, Alys's danger is mortal. A woman's powers are not longer safe to use...",2002,3,640,6583,alone vulnerable alys joins nunnery attempt escape poverty finds thrown back outside world henry viii s wreckers destroy sanctuary nothing looks magic instinctive cunning alys tread perilous path faith childhood female power falls love hugo feudal lord another woman s husband dips witchcraft defeat rival win lover find magic makes poor servant dominant master since heresy new church means stake witchcraft rope alys s danger mortal woman s powers longer safe use
30,9780006514855,0006514855,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,"'Girls' Night In' features stories about growing up, growing out of, moving out, moving on, falling apart and getting it all together. So turn off your cell phone and curl up on the couch: this is one 'Girls' Night In' you won't want to miss.",2000,3,586,140,girls night in features stories growing up growing of moving out moving on falling apart getting together turn cell phone curl couch one girls night in want miss
32,9780006550433,0006550436,The Bonesetter's Daughter,Amy Tan,China,"Tells the story of three generations of Chinese women, beginning at the turn of the century.",2001,4,352,414,tells story three generations chinese women beginning turn century
33,9780006551393,0006551394,The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,"Half of this new, post-Cold War world is intent on building a better Lexus, on streamlining their societies and economies for the global marketplace, while the other half is locked in elemental struggles over who owns which olive tree, which strip of land.",2000,4,352,87,half new post cold war world intent building better lexus streamlining societies economies global marketplace half locked elemental struggles owns olive tree strip land
35,9780006646006,000664600X,Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,"Joe and his parents are enjoying a summer holiday by the sea at the Ocean Star Hotel. The sky is bright blue, the sun shines and Joe loves all that the seaside has to offer. But when the fog rolls in and rain falls Joe begins to wish that he was back at home again. Things change, however, when the owner of the hotel invites Joe to share in a magical world, only a few steps away. The loft is black as night but then above Joe's head a thousand tiny stars begin to sparkle and in the distance he hears the chug-chug-chug of a model train. A whole world is soon to open up before Joe's eyes, a world of snow-capped mountains, great deserts, and rocking fishing boats.",2002,4,32,1,joe parents enjoying summer holiday sea ocean star hotel sky bright blue sun shines joe loves seaside offer fog rolls rain falls joe begins wish back home again things change however owner hotel invites joe share magical world steps away loft black night joe s head thousand tiny stars begin sparkle distance hears chug chug chug model train whole world soon open joe s eyes world snow capped mountains great deserts rocking fishing boats
38,9780007103676,0007103670,Koko,Peter Straub,Male friendship,Koko is Peter Straub's foray into the psychological horror of the Vietnam War.,2001,4,634,7586,koko peter straub s foray psychological horror vietnam war
40,9780007111503,0007111509,Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)","The Famous Volume Of Tommy & Tuppence Linked Short Stories, Reissued In A New Look To Coincide With The Brand New Series Of Tommy & Tuppence Bbc Movies. Tommy And Tuppence Beresford Were Restless For Adventure, So When They Were Asked To Take Over Blunt S International Detective Agency, They Leapt At The Chance. After Their Triumphant Recovery Of A Pink Pearl, Intriguing Cases Kept On Coming Their Way: A Stabbing On Sunningdale Golf Course; Cryptic Messages In The Personal Columns Of Newspapers; And Even A Box Of Poisoned Chocolates.",2001,4,347,9506,famous volume tommy tuppence linked short stories reissued new look coincide brand new series tommy tuppence bbc movies tommy tuppence beresford restless adventure asked take blunt international detective agency leapt chance triumphant recovery pink pearl intriguing cases kept coming way stabbing sunningdale golf course cryptic messages personal columns newspapers even box poisoned chocolates
41,9780007113804,0007113803,Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,"An archaeologist's wife is murdered on the shores of the River Tigris in Iraq... It was clear to Amy Leatheran that something sinister was going on at the Hassanieh dig in Iraq; something associated with the presence of 'Lovely Louise', wife of celebrated archaeologist Dr Leidner. In a few days' time Hercule Poirot was due to drop in at the excavation site. But with Louise suffering from terrifying hallucinations, and tension within the group becoming almost unbearable, Poirot might just be too late...",2001,4,264,25692,archaeologist s wife murdered shores river tigris iraq clear amy leatheran something sinister going hassanieh dig iraq something associated presence lovely louise wife celebrated archaeologist dr leidner days time hercule poirot due drop excavation site louise suffering terrifying hallucinations tension within group becoming almost unbearable poirot might late
42,9780007116263,0007116268,"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,"A visual guide to the third in the Lord of the Rings movie trilogy. A large-format, full-colour guide to the characters, places, landscapes, artefacts, battles, and costumes as seen in the film, it features images, informative text and specially commissioned extras.",2003,5,72,22,visual guide third lord rings movie trilogy large format full colour guide characters places landscapes artefacts battles costumes seen film features images informative text specially commissioned extras
43,9780007117536,0007117531,All Families are Psychotic,Douglas Coupland,Dysfunctional families,"On the eve of the next Space Shuttle mission, a divided family comes together... Warm, witty and wise, All Families Are Psychotic is Coupland at the very top of his form: 'Irresistibly hilarious, unique and wonderful' Independent on Sunday In a cheap motel an hour from Cape Canaveral, Janet Drummond takes her medication, and does a rapid tally of the whereabouts of her children. Wade has spent the night in jail; suicidal Bryan is due to arrive at any moment with his vowel-free girlfriend, Shw; and then there is Sarah, 'a bolt of lightning frozen in midflash' -- here in Orlando to be the star of Friday's shuttle mission. With Janet's ex-husband and his trophy wife also in town, Janet spends a moment contemplating her family, and where it all went wrong. Or did it?",2002,4,279,350,eve next space shuttle mission divided family comes together warm witty wise families psychotic coupland top form irresistibly hilarious unique wonderful independent sunday cheap motel hour cape canaveral janet drummond takes medication rapid tally whereabouts children wade spent night jail suicidal bryan due arrive moment vowel free girlfriend shw sarah a bolt lightning frozen midflash orlando star friday s shuttle mission janet s ex husband trophy wife also town janet spends moment contemplating family went wrong it
46,9780007120680,0007120680,Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)","No one believes a little girl when she insists that she has witnessed a murder until she herself turns up drowned, and Hercule Poirot sets out to catch the killer.",2001,4,336,18820,one believes little girl insists witnessed murder turns drowned hercule poirot sets catch killer
47,9780007120697,0007120699,Hercule Poirot's Christmas,Agatha Christie,Christmas stories,"On the night before Christmas, cruel, tyrannical, filthy-rich Simeon Lee is found in his locked bedroom with his throat cut. Now Hercule Poirot must put his deductive powers to the test to solve one of his most chilling cases--and to prevent a clever killer from spilling more blood.",2001,4,335,23113,night christmas cruel tyrannical filthy rich simeon lee found locked bedroom throat cut hercule poirot must put deductive powers test solve one chilling cases and prevent clever killer spilling blood
48,9780007120819,0007120818,The Big Four,Agatha Christie,Detective and mystery stories,"A ruthless international cartel seeks world domination... Framed in the doorway of Poirot's bedroom stood an uninvited guest, coated from head to foot in dust. The man's gaunt face stared for a moment, then he swayed and fell. Who was he? Was he suffering from shock or just exhaustion? Above all, what was the significance of the figure 4, scribbled over and over again on a sheet of paper? Poirot finds himself plunged into a world of international intrigue, risking his life to uncover the truth about 'Number Four'.",2002,4,272,22155,ruthless international cartel seeks world domination framed doorway poirot s bedroom stood uninvited guest coated head foot dust man s gaunt face stared moment swayed fell he suffering shock exhaustion all significance figure 4 scribbled sheet paper poirot finds plunged world international intrigue risking life uncover truth number four
49,9780007120864,0007120869,The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",The Tuesday Night Club is a venue where locals challenge Miss Marple to solve recent crimes... One Tuesday evening a group gathers at Miss Marple's house and the conversation turns to unsolved crimes... The case of the disappearing bloodstains; the thief who committed his crime twice over; the message on the death-bed of a poisoned man which read 'heap of fish'; the strange case of the invisible will; a spiritualist who warned that 'Blue Geranium' meant death... Now pit your wits against the powers of deduction of the 'Tuesday Night Club'.,2002,4,315,12840,tuesday night club venue locals challenge miss marple solve recent crimes one tuesday evening group gathers miss marple s house conversation turns unsolved crimes case disappearing bloodstains thief committed crime twice over message death bed poisoned man read heap fish strange case invisible will spiritualist warned blue geranium meant death pit wits powers deduction tuesday night club
50,9780007120871,0007120877,They Do it with Mirrors,Agatha Christie,American fiction,"A man is shot at in a juvenile reform home - but someone else dies... Miss Marple senses danger when she visits a friend living in a Victorian mansion which doubles as a rehabilitiation centre for delinquents. Her fears are confirmed when a youth fires a revolver at the administrator, Lewis Serrocold. Neither is injured. But a mysterious visitor, Mr Gilbrandsen, is less fortunate - shot dead simultaneously in another part of the building. Pure coincidence? Miss Marple thinks not, and vows to discover the real reason for Mr Gilbrandsen's visit.",2002,4,284,415,man shot juvenile reform home someone else dies miss marple senses danger visits friend living victorian mansion doubles rehabilitiation centre delinquents fears confirmed youth fires revolver administrator lewis serrocold neither injured mysterious visitor mr gilbrandsen less fortunate shot dead simultaneously another part building pure coincidence miss marple thinks not vows discover real reason mr gilbrandsen s visit
52,9780007120987,0007120982,The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)","One Minute, Silly Heather Badcock Had Been Gabbling On At Her Movie Idol, The Glamorous Marina Gregg. The Next, Heather Suffered A Massive Seizure. But For Whom Was The Deadly Poison Really Intended? Marina S Frozen Expression Suggested She Had Witnessed Something Horrific. But, While Others Searched For Material Evidence, Jane Marple Conducted A Very Different Investigation Into Human Nature.",2002,4,351,23249,one minute silly heather badcock gabbling movie idol glamorous marina gregg next heather suffered massive seizure deadly poison really intended marina frozen expression suggested witnessed something horrific but others searched material evidence jane marple conducted different investigation human nature
53,9780007121007,0007121008,Mrs McGinty's Dead,Agatha Christie,Belgians,"An old widow is brutally killed in the parlour of her cottage... Mrs McGinty died from a brutal blow to the back of her head. Suspicion fell immediately on her shifty lodger, James Bentley, whose clothes revealed traces of the victim's blood and hair. Yet something was amiss: Bentley just didn't look like a murderer. Poirot believed he could save the man from the gallows - what he didn't realise was that his own life was now in great danger...",2002,4,328,525,old widow brutally killed parlour cottage mrs mcginty died brutal blow back head suspicion fell immediately shifty lodger james bentley whose clothes revealed traces victim s blood hair yet something amiss bentley look like murderer poirot believed could save man gallows realise life great danger
54,9780007121014,0007121016,Taken at the Flood,Agatha Christie,Fiction,"A Few Weeks After Marrying An Attractive Young Widow, Gordon Cloade Is Tragically Killed By A Bomb Blast In The London Blitz. Overnight, The Former Mrs Underhay Finds Herself In Sole Possession Of The Cloade Family Fortune. Shortly Afterwards, Hercule Poirot Receives A Visit From The Dead Man S Sister-In-Law Who Claims She Has Been Warned By Spirits That Mrs Underhay S First Husband Is Still Alive. Poirot Has His Suspicions When He Is Asked To Find A Missing Person Guided Only By The Spirit World. Yet What Mystifies Poirot Most Is The Woman S True Motive For Approaching Him&",2002,4,352,8852,weeks marrying attractive young widow gordon cloade tragically killed bomb blast london blitz overnight former mrs underhay finds sole possession cloade family fortune shortly afterwards hercule poirot receives visit dead man sister in law claims warned spirits mrs underhay first husband still alive poirot suspicions asked find missing person guided spirit world yet mystifies poirot woman true motive approaching him
55,9780007121021,0007121024,The Hollow,Agatha Christie,Detective and mystery stories,"Lucy Angkatell Invited Hercule Poirot To Lunch. To Tease The Great Detective, Her Guests Stage A Mock Murder Beside The Swimming Pool. Unfortunately, The Victim Plays The Scene For Real. As His Blood Drips Into The Water, John Christow Gasps One Final Word: Henrietta . In The Confusion, A Gun Sinks To The Bottom Of The Pool. Poirot S Enquiries Reveal A Complex Web Of Romantic Attachments. It Seems Everyone In The Drama Is A Suspect And Each A Victim Of Love.",2002,4,384,13022,lucy angkatell invited hercule poirot lunch tease great detective guests stage mock murder beside swimming pool unfortunately victim plays scene real blood drips water john christow gasps one final word henrietta confusion gun sinks bottom pool poirot enquiries reveal complex web romantic attachments seems everyone drama suspect victim love
56,9780007121106,0007121105,Third Girl,Agatha Christie,Belgians,"A perplexed girl thinks she might have killed someone... Three single girls shared the same London flat. The first worked as a secretary; the second was an artist; the third who came to Poirot for help, disappeared convinced she was a murderer. Now there were rumours of revolvers, flick-knives and blood stains. But, without hard evidence, it would take all Poirot's tenacity to establish whether the third girl was guilty innocent or insane...",2002,4,365,13705,perplexed girl thinks might killed someone three single girls shared london flat first worked secretary second artist third came poirot help disappeared convinced murderer rumours revolvers flick knives blood stains but without hard evidence would take poirot s tenacity establish whether third girl guilty innocent insane
57,9780007122585,0007122586,The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",A young drifter finds more than he bargained for when he agrees to deliver a parcel to an English country house...,2001,4,400,11110,young drifter finds bargained agrees deliver parcel english country house
58,9780007124015,0007124015,The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)","Sauron has gathered the Rings of Power - the means by which he will be able to rule the world. All he needs now is the Ruling Ring, which has fallen into the hands of the hobbit Bilbo Baggins. Frodo Baggins is entrusted to foil Sauron's plans.",2001,4,1546,187,sauron gathered rings power means able rule world needs ruling ring fallen hands hobbit bilbo baggins frodo baggins entrusted foil sauron s plans
61,9780007129652,0007129653,Wilkins' Tooth,Diana Wynne Jones,Business enterprises,"OWN BACK LIMITEDREVENGE ARRANGED, PRICE ACCORDING TO TASK, ALL DIFFICULT TASKS UNDERTAKEN, TREASURE HUNTED, ETC. It seemed like a marvellous scheme at the time! Frank and Jess had set up the business because they needed money - their pocket-money had been stopped just when Frank owed Buster Knell ten pence. Their father had put a quick stop to ERRANDS RUN, so why not try something that was bad instead? Offering to do dreadful things that other people didn't dare to do? So they pinned up the notice on the potting-shed and waited for customers. But of course, nothing's ever THAT straightforward.",2002,4,207,69,back limitedrevenge arranged price according task difficult tasks undertaken treasure hunted etc seemed like marvellous scheme time frank jess set business needed money pocket money stopped frank owed buster knell ten pence father put quick stop errands run try something bad instead offering dreadful things people dare do pinned notice potting shed waited customers course nothing s ever straightforward
62,9780007130313,0007130317,Cut,Patricia McCormick,Emotional problems,"Fifteen-year old Callie is so withdrawn that she's not speaking to anyone - including her therapist at Sea Pines, known to its guests as 'Sick Minds' - the residential treatment facility where her parents and doctor send her after discovering that she cuts herself. Her story unfolds primarily through dramatic monologues, gradually revealing the family turmoil that led to her self-destructive behaviour.",2002,4,173,107,fifteen year old callie withdrawn speaking anyone including therapist sea pines known guests sick minds residential treatment facility parents doctor send discovering cuts herself story unfolds primarily dramatic monologues gradually revealing family turmoil led self destructive behaviour
65,9780007136599,0007136595,The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)","Tolkien's classic fantasy about the quest to save Middle-Earth--and the basis for Peter Jackson's Academy Award(-winning film trilogy--is now available in these Young Reader's Editions. Each book of the trilogy is available individually, or together in a three-volume paperback boxed set.",2002,4,410,56,tolkien s classic fantasy quest save middle earth and basis peter jackson s academy award winning film trilogy is available young reader s editions book trilogy available individually together three volume paperback boxed set
66,9780007137336,0007137338,Lirael,Garth Nix,Fantasy fiction,"When a dangerous necromancer threatens to unleash a long-buried evil, Lirael and Prince Sameth are drawn into a battle to save the Old Kingdom and reveal their true destinies. Suggested level: secondary.",2004,4,527,1339,dangerous necromancer threatens unleash long buried evil lirael prince sameth drawn battle save old kingdom reveal true destinies suggested level secondary
67,9780007149124,0007149123,Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English","Never before published in a single volume, Tolkien's four novellas (""Farmer Giles of Ham, Leaf by Niggle, Smith of Wootton Major,"" and ""Roverandom"") and one book of poems (""The Adventures of Tom Bombadil"") are gathered together in a fully illustrated set.",2002,4,178,2964,never published single volume tolkien s four novellas farmer giles ham leaf niggle smith wootton major roverandom one book poems the adventures tom bombadil gathered together fully illustrated set
70,9780007150304,000715030X,"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,A matter of life and death - and the Throne of England,2003,4,242,78,matter life death throne england
71,9780007151240,0007151241,The Family Way,Tony Parsons,Parenthood,"It should be the most natural thing in the world. But in Tony Parsons' latest bestseller, three couples discover that Mother Nature can be one hell of a bitch.",2005,4,400,2095,natural thing world tony parsons latest bestseller three couples discover mother nature one hell bitch
72,9780007151677,0007151675,Endless Night,Agatha Christie,FICTION,"Gipsy S Acre Was A Truly Beautiful Upland Site With Views Out To Sea And In Michael Rogers It Stirred A Child-Like Fantasy. There, Among The Dark Fir Trees, He Planned To Build A House, Find A Wonderful Girl And Live Happily Ever After, Yet, As He Left The Village, A Shadow Of Menace Hung Over The Land. For This Was The Place Where Accidents Happened. Perhaps Michael Should Have Heeded The Locals Warnings: There S No Luck For Them As Meddles With Gipsy S Acre .",2002,4,303,12740,gipsy acre truly beautiful upland site views sea michael rogers stirred child like fantasy there among dark fir trees planned build house find wonderful girl live happily ever after yet left village shadow menace hung land place accidents happened perhaps michael heeded locals warnings luck meddles gipsy acre
73,9780007153589,0007153589,How to be Alone,Jonathan Franzen,Literary Collections,"'The Harper's Essay' is reprinted in this volume alongside personal essays and painstaking, often funny reportage. Although his subjects range widely, each piece wrestles with the erosion of civic life and private dignity, and the hidden persistence of loneliness in postmodern America.",2004,4,306,327,the harper s essay reprinted volume alongside personal essays painstaking often funny reportage although subjects range widely piece wrestles erosion civic life private dignity hidden persistence loneliness postmodern america
